mesh_output,strategy,families,source_images
models/doors/door_trapped_damaged.glb,variant_mesh,door_trapped,doors/trapped/door_trapped_damaged.png
models/doors/door_trapped_destroyed.glb,variant_mesh,door_trapped,doors/trapped/door_trapped_destroyed.png
models/doors/door_magic_sealed.glb,shared_hinged_mesh,door_magic_sealed,doors/magic_sealed/door_magic_sealed_reference.png | doors/magic_sealed/door_magic_sealed_closed.png | doors/magic_sealed/door_magic_sealed_open.png
models/doors/door_magic_sealed_damaged.glb,variant_mesh,door_magic_sealed,doors/magic_sealed/door_magic_sealed_damaged.png
models/doors/door_magic_sealed_destroyed.glb,variant_mesh,door_magic_sealed,doors/magic_sealed/door_magic_sealed_destroyed.png
models/storage/cache.glb,shared_mesh_plus_contents,cache,storage/cache/cache_reference.png | storage/cache/cache_empty.png | storage/cache/cache_partially_filled.png | storage/cache/cache_full.png
models/storage/cache_destroyed.glb,variant_mesh,cache,storage/cache/cache_destroyed.png
models/storage/reliquary.glb,shared_mesh_plus_contents,reliquary,storage/reliquary/reliquary_reference.png | storage/reliquary/reliquary_empty.png | storage/reliquary/reliquary_partially_filled.png | storage/reliquary/reliquary_full.png
models/storage/reliquary_destroyed.glb,variant_mesh,reliquary,storage/reliquary/reliquary_destroyed.png
models/storage/vault.glb,shared_mesh_plus_contents,vault,storage/vault/vault_reference.png | storage/vault/vault_empty.png | storage/vault/vault_partially_filled.png | storage/vault/vault_full.png
models/storage/vault_destroyed.glb,variant_mesh,vault,storage/vault/vault_destroyed.png
models/structures/expansion_sanctuary.glb,static_mesh_plus_vfx,expansion_sanctuary,structures/expansion_sanctuary/expansion_sanctuary_reference.png | structures/expansion_sanctuary/expansion_sanctuary_idle.png | structures/expansion_sanctuary/expansion_sanctuary_researching.png
models/structures/expansion_sanctuary_interrupted.glb,variant_mesh,expansion_sanctuary,structures/expansion_sanctuary/expansion_sanctuary_interrupted.png
models/structures/expansion_sanctuary_destroyed.glb,variant_mesh,expansion_sanctuary,structures/expansion_sanctuary/expansion_sanctuary_destroyed.png
models/environment/floor_tile_uncontrolled.glb,modular_static_mesh,floor_tile_uncontrolled,environment/modules/floor_tile_uncontrolled.png
models/environment/floor_tile_controlled.glb,modular_static_mesh,floor_tile_controlled,environment/modules/floor_tile_controlled.png
models/environment/floor_tile_strong_influence.glb,modular_static_mesh,floor_tile_strong_influence,environment/modules/floor_tile_strong_influence.png
models/environment/wall_straight_uncontrolled.glb,modular_static_mesh,wall_straight_uncontrolled,environment/modules/wall_straight_uncontrolled.png
models/environment/wall_straight_controlled.glb,modular_static_mesh,wall_straight_controlled,environment/modules/wall_straight_controlled.png
models/environment/wall_corner_controlled.glb,modular_static_mesh,wall_corner_controlled,environment/modules/wall_corner_controlled.png
models/environment/pillar_controlled.glb,modular_static_mesh,pillar_controlled,environment/modules/pillar_controlled.png
models/environment/stairs_controlled.glb,modular_static_mesh,stairs_controlled,environment/modules/stairs_controlled.png
models/environment/bridge_controlled.glb,modular_static_mesh,bridge_controlled,environment/modules/bridge_controlled.png
models/environment/cave_rock_cluster.glb,modular_static_mesh,cave_rock_cluster,environment/modules/cave_rock_cluster.png
models/environment/dungeon_vein_segment.glb,modular_static_mesh,dungeon_vein_segment,environment/modules/dungeon_vein_segment.png
models/environment/influence_crack_cluster.glb,modular_static_mesh,influence_crack_cluster,environment/modules/influence_crack_cluster.png
models/environment/floating_rock_cluster.glb,modular_static_mesh,floating_rock_cluster,environment/modules/floating_rock_cluster.png
models/props/torch_sconce.glb,static_mesh,torch_sconce,environment/props/torch_sconce.png
models/props/brazier.glb,static_mesh,brazier,environment/props/brazier.png
models/props/banner.glb,static_mesh,banner,environment/props/banner.png
models/props/crate.glb,static_mesh,crate,environment/props/crate.png
models/props/barrel.glb,static_mesh,barrel,environment/props/barrel.png
models/props/bookshelf.glb,static_mesh,bookshelf,environment/props/bookshelf.png
models/props/table.glb,static_mesh,table,environment/props/table.png
models/props/chair.glb,static_mesh,chair,environment/props/chair.png
models/props/spiked_fence.glb,static_mesh,spiked_fence,environment/props/spiked_fence.png
models/props/portcullis.glb,static_mesh,portcullis,environment/props/portcullis.png
models/props/magic_focus.glb,static_mesh,magic_focus,environment/props/magic_focus.png
models/props/ritual_altar.glb,static_mesh,ritual_altar,environment/props/ritual_altar.png
models/loot/loot_bag.glb,static_mesh,loot_bag,loot/loot_bag.png
models/loot/gold_pile_small.glb,static_mesh,gold_pile_small,loot/gold_pile_small.png
models/loot/gold_pile_medium.glb,static_mesh,gold_pile_medium,loot/gold_pile_medium.png
models/loot/gold_pile_large.glb,static_mesh,gold_pile_large,loot/gold_pile_large.png
models/loot/relic_bundle.glb,static_mesh,relic_bundle,loot/relic_bundle.png
models/loot/dropped_weapon_bundle.glb,static_mesh,dropped_weapon_bundle,loot/dropped_weapon_bundle.png
models/characters/hero_vulpin_thief.glb,rigged_character_mesh,hero_vulpin_thief,characters/heroes/hero_vulpin_thief.png
models/characters/hero_lithide_paladin.glb,rigged_character_mesh,hero_lithide_paladin,characters/heroes/hero_lithide_paladin.png
models/characters/hero_batrafian_ranger.glb,rigged_character_mesh,hero_batrafian_ranger,characters/heroes/hero_batrafian_ranger.png
models/characters/hero_mycean_mage.glb,rigged_character_mesh,hero_mycean_mage,characters/heroes/hero_mycean_mage.png
models/characters/hero_nocturne_priest.glb,rigged_character_mesh,hero_nocturne_priest,characters/heroes/hero_nocturne_priest.png
models/characters/hero_saurian_warrior.glb,rigged_character_mesh,hero_saurian_warrior,characters/heroes/hero_saurian_warrior.png
models/characters/hero_forged_sapper.glb,rigged_character_mesh,hero_forged_sapper,characters/heroes/hero_forged_sapper.png
models/characters/hero_human_barbarian.glb,rigged_character_mesh,hero_human_barbarian,characters/heroes/hero_human_barbarian.png
models/creatures/creature_shardling.glb,rigged_character_mesh,creature_shardling,characters/creatures/creature_shardling.png
models/creatures/creature_hollow.glb,rigged_character_mesh,creature_hollow,characters/creatures/creature_hollow.png
models/creatures/creature_maw.glb,rigged_character_mesh,creature_maw,characters/creatures/creature_maw.png
models/creatures/creature_wraith.glb,rigged_character_mesh,creature_wraith,characters/creatures/creature_wraith.png
models/world_map/world_village_cluster.glb,diorama_static_mesh,world_village_cluster,world_map/world_village_cluster.png
models/world_map/world_castle.glb,diorama_static_mesh,world_castle,world_map/world_castle.png
models/world_map/world_forest_cluster.glb,diorama_static_mesh,world_forest_cluster,world_map/world_forest_cluster.png
models/world_map/world_mountain_cluster.glb,diorama_static_mesh,world_mountain_cluster,world_map/world_mountain_cluster.png
models/world_map/world_trade_road_segment.glb,diorama_static_mesh,world_trade_road_segment,world_map/world_trade_road_segment.png
models/world_map/world_religious_sanctuary.glb,diorama_static_mesh,world_religious_sanctuary,world_map/world_religious_sanctuary.png
models/world_map/world_fungal_forest_cluster.glb,diorama_static_mesh,world_fungal_forest_cluster,world_map/world_fungal_forest_cluster.png
models/world_map/world_magic_region_cluster.glb,diorama_static_mesh,world_magic_region_cluster,world_map/world_magic_region_cluster.png
models/world_map/world_dungeon_influence_fissure.glb,diorama_static_mesh,world_dungeon_influence_fissure,world_map/world_dungeon_influence_fissure.png
